Unnamed: 0,YearMonth,LangName,CommitCnts
78974,2015-11-01,Python,7653415
71303,2015-12-01,Python,7541932
60316,2016-01-01,Python,7583496
84451,2016-02-01,Python,8281119
9634,2016-03-01,Python,8038140
13991,2016-04-01,Python,6819244
78980,2016-05-01,Python,6884835
14018,2016-06-01,Python,6852803
90926,2016-07-01,Python,5918138
28,2016-08-01,Python,6352147
99677,2016-09-01,Python,5946213
50559,2016-10-01,Python,5653639
32145,2016-11-01,Python,5477252
63605,2016-12-01,Python,6533591
6462,2017-01-01,Python,5331478
6439,2017-02-01,Python,5134186
80137,2017-03-01,Python,5225621
70185,2017-04-01,Python,4608426
51615,2017-05-01,Python,4779639
58204,2017-06-01,Python,4380174
88763,2017-07-01,Python,3915522
63626,2017-08-01,Python,4211954
24777,2017-09-01,Python,3538080
64731,2017-10-01,Python,3679172
15098,2017-11-01,Python,3350260
16197,2017-12-01,Python,2520330
51636,2018-01-01,Python,2987828
56044,2018-02-01,Python,3292444
46174,2018-03-01,Python,2816373
61442,2018-04-01,Python,2540398
79009,2018-05-01,Python,2659135
20522,2018-06-01,Python,2292183
25849,2018-07-01,Python,2302958
85499,2018-08-01,Python,2387860
68018,2018-09-01,Python,2036514
73473,2018-10-01,Python,2330608
88740,2018-11-01,Python,2021905
40809,2018-12-01,Python,1693630
40795,2019-01-01,Python,1942422
94219,2019-02-01,Python,2006386
66950,2019-03-01,Python,2012325
87681,2019-04-01,Python,1912469
69115,2019-05-01,Python,1867476
98640,2019-06-01,Python,1706061
59310,2019-07-01,Python,1779598
42951,2019-08-01,Python,1818846
49469,2019-09-01,Python,1543185
32203,2019-10-01,Python,1802962
77864,2019-11-01,Python,1583484
2165,2019-12-01,Python,1332958
81237,2020-01-01,Python,1528496
26892,2020-02-01,Python,1457377
56062,2020-03-01,Python,1585235
95393,2020-04-01,Python,1648921
50591,2020-05-01,Python,1510038
81222,2020-06-01,Python,1417879
24805,2020-07-01,Python,1583313
97563,2020-08-01,Python,1199265
20560,2020-09-01,Python,1260701
68045,2020-10-01,Python,1240275
60373,2020-11-01,Python,1193261
1125,2020-12-01,Python,1177401
